;src;new_src;tgt
0;туг индерэв хэлэ эхико̄ко̄н;туг индеМ хэлэ эхико̄ко̄н;ТАК ЖИВу СЕЙЧАС
152;тыматнэ унэ тэгэрэв дяввар муӈгарав;тыматнэ унэ тэгэМ дяввар муӈгам;РАНО УТРОМ ВСТАЛ ЗАСМОЛИЛ БЕРЕСТЯНКУ
317;тара болорокин тала̄ потихоньку ӈэнэӈнэрэв может там не доезжая до этого места;тара болорокин тала̄ потихоньку ӈэнэӈнэМ может там не доезжая до этого места;КОГДА ОСЕНЬ НАСТУПАЕТ ТУДА ПОТИХОНЬКУ ЕДу МОЖЕТ ТАМ НЕ ДОЕЗЖАЯ ДО ЭТОГО МЕСТА
459;эмэдеӈнэрэв эмэдеӈнэрэв;эмэдеӈнэМ эмэдеӈнэМ;ПОДХОжу ПОДХОжу
709;тадук нян улуму улумиӈнэрэв улу улумоӈнэрэв;тадук нян улуму улумиӈнэМ улу улумоӈнэМ;ПОТОМ ОПЯТЬ УЕЗЖАю БЕЛКОВАТЬ
750;и аӈив дэрӯмкисарэв аят;и аӈив дэрӯмкисаМ аят;И ЭТО ОТДОХНУЛ ХОРОШО
986;ичэрэв экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ;ичэМ экунма экунмака киранчиканмэ тоготчерӣвэ дягдадӯ;УВИДЕЛ ЭТОГО ЭТОГО ОРЛЕНКА СИДЯЩЕГО НА СОСНЕ
1281;дептылэвэр гада̄вэр эмэӈнэрэв эла̄;дептылэвэр гада̄вэр эмэӈнэМ эла̄;ПРИЕЗЖАЛ СЮДА ЧТОБЫ ВЗЯТЬ ПРОДУКТЫ
1476;и сурурэв все опять аӈила̄вэр дюлдула̄вэр;и суруМ опять аӈила̄вэр дюлдула̄вэр;И УШел ОПЯТЬ К ЭТОМУ САМОМУ К ЧУМАМ
2039;улгурдям он hаргилтыки шуруӈнэрэв эдук;улгурдям он hаргилтыки шуруӈнэМ эдук;РАССКАЖУ КАК В ЛЕС УХОжу ОТСЮДА
2238;этэрэв эдук эмэрэ;этэМ эдук эмэрэ;С ЭТИХ ПОР БОЛЬШЕ НЕ ПРИДу
2684;арчарэв абачӣва;арчаМ абачӣва;ВСТРЕТИЛ МЕДВЕДЯ
3025;этэрэв упкатвар орав;этэМ упкатвар оми;КОНЧИЛ ВСЕ СДЕЛАЛ
3095;продуктылэвэр угугэрэв на бечеве бичевой таскали;продуктылэвэр угугэМ на бечеве бичевой таскал;ПРОДУКТЫ ТАЩИЛ НА БЕЧЕВЕ ТАСКАЛ
3615;этэрэв да̄ррэв сурурэв дюла̄вэр;этэМ да̄рМ суруМ дюла̄вэр;КОНЧИЛ ЩЕПАТЬ ПОШел ДОМОЙ
3645;этэрэв гада;этэМ гада;НЕ ВОЗЬМу
3714;тулэсилиңэрэв капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ;тулэсилиңэМ капкарвэр бираялдулӣ амудилдулӣ урэко̄рдулӣ;СТАВИМ КАПКАНЫ ПО РЕКАМ ПО ОЗЕРАМ ПО ХОЛМАМ
3870;тадук эмэңнэрэв эдӯ дю дюгаракин;тадук эмэңнэМ эдӯ дю дюгаракин;ПОТОМ ПРИЕЗЖАю СЮДА ЛЕТОМ
3962;анамӈнэрэв туӈава ӣӈанӣл;анамӈнэМ туӈава ӣӈанӣл;ПРОХОжу ПЯТЬ ДНЕЙ
4235;hэлэ hурурэв hурурэв ӈэлифсиёй ӈэлифси;hэлэ hуруМ hуруМ ӈэлифсиёй ӈэлифси;ВОТ УЙДу УЙДу СТРАШНО СТРАШНО
4338;элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэрэв шобдёрвэ улукилвэ;элдӯка ну как сказатьто эти коммерсанты комме коммесар коммерсашэлдӯ униэӈнэМ шобдёрвэ улукилвэ;ЭТИМ НУ КАК СКАЗАТЬТО ЭТИ КОММЕРСАНТЫ КОММЕРСАНТАМ ПРОДАю СОБОЛЕЙ БЕЛОК
4385;потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэрэв как база идӯ толгокил бидерэ;потому что ӈэнэнӣ когда весна наступает толгокивэр ӈоӈэМ как база идӯ толгокил бидерэ;ПОТОМУ ЧТО КОГДА ВЕСТА НАСТУПАЕТ ВЕСНОЙ САНИ ОСТАВЛЯю ГДЕ САНИ ЛЕЖАТ КАК БАЗА